# year<TAB>rank<TAB>name  — seed from Bleacher Report annual Top 100 (see prospect-pedigree README)
2025	4	Kristian Campbell
2025	5	Walker Jenkins
2025	6	Chase Dollander
2025	7	Marcelo Mayer
2025	8	Travis Bazzana
2025	9	Bubba Chandler
2025	10	Noah Schultz
2025	11	Sebastian Walcott
2025	12	Bryce Eldridge
2025	13	Samuel Basallo
2025	14	Leo De Vries
2025	15	Jordan Lawlar
2025	16	Andrew Painter
2025	17	Matt Shaw
2025	18	Max Clark
2025	19	Colt Emerson
2025	20	Kevin McGonigle
2025	21	Emmanuel Rodriguez
2025	22	Coby Mayo
2025	23	Kumar Rocker
2025	24	Rhett Lowder
2025	25	Cam Smith
2025	26	Jac Caglianone
2025	27	Chase Burns
2025	28	JJ Wetherholt
2025	29	Josue De Paula
2025	30	Xavier Isaac
2025	31	Ethan Salas
2025	32	Thomas White
2025	33	Dalton Rushing
2025	34	Lazaro Montes
2025	35	Brandon Sproat
2025	36	Kyle Teel
2025	37	Jacob Wilson
2025	38	Charlie Condon
2025	39	Aidan Miller
2025	40	Travis Sykora
2025	41	Quinn Mathews
2025	42	Nick Kurtz
2025	43	Hagen Smith
2025	44	Drake Baldwin
2025	45	Colson Montgomery
2025	46	Tink Hence
2025	47	Cole Young
2025	48	Jeferson Quero
2025	49	Cade Horton
2025	50	Jackson Ferris
2025	51	Jesús Made
2025	52	Jett Williams
2025	53	Caden Dana
2025	54	Jaison Chourio
2025	55	Moises Ballesteros
2025	56	Chase DeLauter
2025	57	Justin Crawford
2025	58	Owen Caissie
2025	59	Cooper Pratt
2025	60	Thomas Harrington
2025	61	Luke Keaschall
2025	62	Christian Moore
2025	63	Jacob Misiorowski
2025	64	Michael Arroyo
2025	65	Alex Freeland
2025	66	Brayden Taylor
2025	67	Braden Montgomery
2025	68	Angel Genao
2025	69	Harry Ford
2025	70	Blake Mitchell
2025	71	Zyhir Hope
2025	72	Konnor Griffin
2025	73	Bryce Rainer
2025	74	Jarlin Susana
2025	75	Chandler Simpson
2025	76	Starlyn Caba
2025	77	Felnin Celesten
2025	78	Edgar Quero
2025	79	Colby Thomas
2025	80	Franklin Arias
2025	81	AJ Smith-Shawver
2025	82	Tre' Morgan
2025	83	Emiliano Teodo
2025	84	Alejandro Rosario
2025	85	Winston Santos
2025	86	Cole Carrigg
2025	87	Noble Meyer
2025	88	Brice Matthews
2025	89	Eduardo Tait
2025	90	James Triantos
2025	91	Arjun Nimmala
2025	92	Agustin Ramírez
2025	93	Ralphy Velazquez
2025	94	Cam Collier
2025	95	Jonny Farmelo
2025	96	Robert Calaz
2025	97	Cam Caminiti
2025	98	Jacob Melton
2025	99	George Lombard Jr.
2025	100	Josue Briceño
